cod_cliente;nome_completo;email;tipo_cliente;data_inclusao;horario_inclusao;cpfcnpj;data_nascimento;endereco.2;cep
28;Sabrina Dias;moreiraemanuelly@example.org;PF;03/04/2017;16:11:00;357.081.496-39;11/08/2006; SP;95140704
674;Luiz Felipe Dias;pedroferreira@example.org;PF;10/02/2021;13:27:00;085.196.374-93;11/10/1995; AP;76516765
693;Renan Dias;ogomes@example.net;PF;21/01/2020;13:12:00;783.416.059-10;19/11/1948; RN;51779625
743;Clara Dias;rafaelcorreia@example.org;PF;06/05/2019;11:39:00;589.237.610-95;27/01/1978; SP;19615792
769;André Dias;danilo33@example.org;PF;07/01/2017;14:53:00;459.608.721-02;25/08/1990; RS;01672838
824;Heloísa Dias;alanadias@example.org;PF;07/01/2016;12:26:00;536.981.240-33;12/05/1967; MS;07814131
884;Maria Julia Dias;alvesmariana@example.net;PF;06/08/2017;11:01:00;150.438.926-33;10/12/1950; ES;90221380
899;Arthur Dias;castropedro-lucas@example.net;PF;17/10/2021;13:00:00;509.481.762-02;26/02/1953; PB;44875244
908;Vitor Gabriel Dias;acardoso@example.com;PF;02/04/2021;10:22:00;158.406.379-39;25/03/1948; BA;42603833
945;Caio Dias;moraesmarina@example.org;PF;10/05/2016;13:56:00;975.860.431-75;11/06/1955; SP;23176352
5;Daniela Lima;yago42@example.net;PF;14/01/2015;11:53:00;071.259.643-70;04/03/1994; AL;96027142
262;João Lucas Lima;brunaduarte@example.org;PF;19/10/2019;11:14:00;358.702.964-47;17/10/1950; AC;29942354
281;Enrico Lima;fernandesbryan@example.net;PF;27/06/2016;15:06:00;180.746.392-31;15/01/1978; MS;97628818
352;Carolina Lima;maria-sophiacardoso@example.com;PF;05/06/2022;14:12:00;658.079.314-75;19/07/1948; AP;57113154
387;Isaac Lima;nicolecardoso@example.com;PF;08/02/2014;13:28:00;869.103.725-30;22/07/1945; AL;26119706
522;João Lucas Lima;barbosamariana@example.org;PF;05/11/2016;13:26:00;740.963.251-80;05/05/1990; DF;80317732
729;Benjamin Lima;kaiquepeixoto@example.net;PF;21/08/2020;10:13:00;095.421.876-02;05/08/1956; SP;77226042
887;Kevin Lima;kamilly26@example.net;PF;27/02/2021;11:43:00;538.169.047-93;09/07/1950; ES;12716003
70;Enrico Melo;pedro-henriqueviana@example.org;PF;18/02/2021;15:23:00;418.962.035-15;08/11/1988; SC;37988526
226;Isabella Melo;vramos@example.com;PF;14/01/2017;11:27:00;716.452.809-85;01/10/1952; SC;16954952
239;Bernardo Melo;maria-alice61@example.net;PF;25/02/2017;16:31:00;327.459.861-55;26/04/1979; PE;51092202
265;Heitor Melo;vitor-gabrielmonteiro@example.com;PF;05/06/2019;11:17:00;598.067.321-03;25/10/1989; GO;96975888
366;Pedro Melo;arthurvieira@example.com;PF;06/06/2014;15:19:00;809.461.527-30;21/03/1978; GO;73739486
467;Gustavo Henrique Melo;da-cunhabrenda@example.com;PF;26/02/2018;12:52:00;532.709.841-97;12/10/1999; ES;50832820
602;Thomas Melo;mda-rocha@example.net;PF;24/10/2018;13:07:00;549.671.082-02;25/08/1991; BA;77360182
691;Raquel Melo;thiago84@example.net;PF;15/07/2020;16:46:00;874.351.602-53;21/08/1978; AP;51214338
783;Nicole Melo;ericknogueira@example.com;PF;21/09/2015;11:35:00;602.143.987-22;13/07/1968; PI;49990438
786;Luna Melo;oliveiradavi@example.net;PF;21/01/2019;14:29:00;125.386.974-09;16/05/1959; RN;84504002
792;Levi Melo;da-cunhajoao-guilherme@example.net;PF;08/12/2018;12:54:00;061.947.285-58;11/01/1977; BA;63158375
811;Yuri Melo;mouralivia@example.com;PF;06/08/2018;11:04:00;943.162.708-69;13/11/1972; TO;69025958
834;Luna Melo;caldeiranicolas@example.com;PF;25/03/2015;14:02:00;416.287.395-09;20/09/1967; RJ;05254597
911;Daniel Melo;nicole57@example.com;PF;22/09/2011;12:17:00;576.184.902-01;23/03/1984; PA;04065275
924;Melissa Melo;samuelmonteiro@example.com;PF;20/10/2021;15:55:00;412.307.695-52;08/07/1988; PB;47546871
